iter	Passed	Remaining
0	9	9865
1	21	10649
2	33	11271
3	48	11960
4	61	12281
5	73	12255
6	86	12222
7	97	12127
8	112	12375
9	125	12390
10	137	12375
11	149	12333
12	160	12202
13	170	12038
14	179	11808
15	191	11791
16	204	11810
17	215	11769
18	238	12320
19	260	12769
20	273	12764
21	285	12705
22	296	12579
23	306	12461
24	318	12422
25	328	12309
26	338	12185
27	350	12170
28	362	12127
29	372	12053
30	384	12015
31	397	12023
32	415	12187
33	436	12405
34	456	12582
35	505	13525
36	518	13503
37	536	13571
38	553	13633
39	571	13715
40	584	13678
41	600	13696
42	619	13787
43	635	13798
44	649	13777
45	663	13751
46	679	13783
47	693	13761
48	708	13756
49	720	13698
50	738	13736
51	747	13634
52	759	13567
53	769	13480
54	778	13377
55	789	13310
56	801	13268
57	816	13267
58	829	13231
59	850	13319
60	870	13400
61	891	13483
62	912	13567
63	933	13649
64	945	13595
65	956	13530
66	970	13509
67	982	13460
68	993	13409
69	1007	13380
70	1018	13321
71	1030	13277
72	1045	13279
73	1063	13306
74	1087	13416
75	1107	13462
76	1131	13560
77	1149	13591
78	1174	13697
79	1210	13924
80	1228	13936
81	1242	13913
82	1262	13952
83	1308	14264
84	1331	14331
85	1357	14424
86	1370	14386
87	1381	14314
88	1391	14244
89	1401	14172
90	1409	14080
91	1420	14018
92	1429	13939
93	1439	13878
94	1451	13827
95	1459	13748
96	1470	13689
97	1481	13631
98	1492	13581
99	1502	13524
100	1514	13479
101	1522	13400
102	1536	13380
103	1583	13645
104	1594	13589
105	1602	13516
106	1611	13449
107	1619	13373
108	1629	13323
109	1637	13250
110	1646	13183
111	1655	13124
112	1664	13062
113	1674	13014
114	1682	12947
115	1692	12898
116	1701	12839
117	1711	12790
118	1722	12753
119	1731	12696
120	1765	12826
121	1789	12879
122	1805	12871
123	1821	12869
124	1833	12832
125	1845	12798
126	1858	12772
127	1872	12755
128	1889	12758
129	1903	12739
130	1921	12748
131	1940	12757
132	1961	12789
133	1993	12880
134	2006	12857
135	2017	12819
136	2029	12785
137	2037	12727
138	2048	12689
139	2059	12651
140	2068	12602
141	2077	12552
142	2086	12506
143	2099	12477
144	2111	12448
145	2122	12416
146	2132	12373
147	2143	12337
148	2151	12288
149	2161	12251
150	2173	12220
151	2184	12186
152	2198	12170
153	2208	12129
154	2216	12085
155	2224	12036
156	2234	11997
157	2242	11949
158	2251	11907
159	2259	11860
160	2268	11819
161	2275	11773
162	2285	11735
163	2293	11690
164	2305	11667
165	2314	11629
166	2322	11584
167	2332	11550
168	2339	11505
169	2348	11467
170	2356	11423
171	2367	11395
172	2385	11405
173	2416	11473
174	2429	11452
175	2441	11428
176	2457	11427
177	2469	11403
178	2485	11397
179	2505	11414
180	2523	11416
181	2539	11413
182	2555	11407
183	2567	11385
184	2579	11365
185	2599	11374
186	2651	11525
187	2664	11506
188	2676	11483
189	2687	11459
190	2701	11443
191	2712	11413
192	2723	11387
193	2733	11358
194	2741	11316
195	2751	11287
196	2761	11255
197	2771	11226
198	2782	11199
199	2791	11164
200	2804	11146
201	2818	11136
202	2829	11107
203	2838	11077
204	2854	11069
205	2867	11053
206	2875	11015
207	2883	10979
208	2891	10943
209	2900	10912
210	2911	10885
211	2919	10850
212	2928	10820
213	2936	10784
214	2946	10757
215	2954	10722
216	2964	10698
217	2974	10668
218	2984	10644
219	3011	10676
220	3030	10682
221	3049	10688
222	3066	10683
223	3083	10681
224	3096	10664
225	3122	10695
226	3138	10687
227	3149	10664
228	3164	10655
229	3179	10642
230	3190	10619
231	3207	10618
232	3221	10603
233	3233	10585
